Epoch: 710, PSNR: 32.8205, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 715, PSNR: 33.0103, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 720, PSNR: 33.0872, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 725, PSNR: 33.0358, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 730, PSNR: 32.8270, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 735, PSNR: 32.8466, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 740, PSNR: 32.9923, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 745, PSNR: 32.7852, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 750, PSNR: 32.8623, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 755, PSNR: 33.2457, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 760, PSNR: 33.0001, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 765, PSNR: 32.8517, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 770, PSNR: 33.1849, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 775, PSNR: 33.2048, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 780, PSNR: 32.9811, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 785, PSNR: 33.0435, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 790, PSNR: 32.8060, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 795, PSNR: 32.8866, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 800, PSNR: 32.7751, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 805, PSNR: 32.9151, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 810, PSNR: 32.9682, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 815, PSNR: 32.9525, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 820, PSNR: 32.9087, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 825, PSNR: 33.1006, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 830, PSNR: 32.8650, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 835, PSNR: 32.8119, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 840, PSNR: 32.9185, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 845, PSNR: 32.9098, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 850, PSNR: 32.8448, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 855, PSNR: 32.8947, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 860, PSNR: 32.9708, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 865, PSNR: 32.9988, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 870, PSNR: 32.9428, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 875, PSNR: 33.0053, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 880, PSNR: 33.0199, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 885, PSNR: 32.9219, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 890, PSNR: 33.0985, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 895, PSNR: 32.9402, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 900, PSNR: 33.1307, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 905, PSNR: 32.8965, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 910, PSNR: 33.0003, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 915, PSNR: 33.1045, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 920, PSNR: 32.9080, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 925, PSNR: 32.9476, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 930, PSNR: 32.9323, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 935, PSNR: 33.0816, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 940, PSNR: 33.0020, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 945, PSNR: 32.9097, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 950, PSNR: 33.0580, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 955, PSNR: 33.0808, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 960, PSNR: 33.1399, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 965, PSNR: 33.0859, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 970, PSNR: 32.9338, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 975, PSNR: 32.9317, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 980, PSNR: 32.9484, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 985, PSNR: 33.0524, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 990, PSNR: 32.9770, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 995, PSNR: 32.9600, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 1000, PSNR: 33.0325, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 5, PSNR: 26.3913, best_epoch: 5, Best_PSNR: 26.3913
Epoch: 10, PSNR: 27.6484, best_epoch: 10, Best_PSNR: 27.6484
